# 05ClusterAnalysis_DBS.R
%	 212
%	 14
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	TotalTests	Tests/1Mpop	
1	2020-02-23	Afghanistan	784	NaN	25	NaN	43	716	NaN	20	0.6	NaN	NaN
2	2020-03-07	Albania	494	NaN	25	NaN	251	218	5	172	9	4558	1584
3	2020-02-24	Algeria	2160	NaN	336	NaN	708	1116	60	49	8	3359	77
4	2020-03-01	Andorra	673	NaN	33	NaN	169	471	17	8710	427	1673	21653
5	2020-03-19	Angola	19	NaN	2	NaN	5	12	NaN	0.6	0.06	NaN	NaN
6	2020-03-25	Anguilla	3	NaN	NaN	NaN	1	2	NaN	200	NaN	NaN	NaN
7	2020-03-12	Antigua and Barbuda	23	NaN	3	1	3	17	1	235	31	73	745
8	2020-03-02	Argentina	2571	NaN	112	NaN	596	1863	117	57	2	24374	539
9	2020-02-29	Armenia	1111	NaN	17	NaN	297	797	30	375	6	9095	3069
10	2020-03-12	Aruba	93	NaN	1	NaN	39	53	1	871	9	1198	11221
11	2020-01-24	Australia	6462	15	63	NaN	3702	2697	76	253	2	377024	14785
12	2020-02-24	Austria	14370	20	393	NaN	8098	5879	232	1596	44	156801	17410
13	2020-02-27	Azerbaijan	1253	NaN	13	NaN	404	836	24	124	1	75397	7436
14	2020-03-14	Bahamas	53	NaN	8	NaN	6	39	1	135	20	NaN	NaN
15	2020-02-23	Bahrain	1671	NaN	7	NaN	663	1001	3	982	4	72647	42694
16	2020-03-07	Bangladesh	1231	NaN	50	NaN	49	1132	1	7	0.3	14868	90
17	2020-03-16	Barbados	75	2	5	NaN	15	55	4	261	17	900	3132
18	2020-02-27	Belarus	3728	NaN	36	NaN	203	3489	68	395	4	76198	8064
19	2020-02-03	Belgium	33573	NaN	4440	NaN	7107	22026	1204	2897	383	128132	11056
20	2020-03-22	Belize	18	NaN	2	NaN	NaN	16	1	45	5	567	1426
21	2020-03-15	Benin	35	NaN	1	NaN	18	16	NaN	3	0.08	NaN	NaN
22	2020-03-17	Bermuda	81	NaN	5	NaN	33	43	3	1301	80	527	8462
23	2020-03-05	Bhutan	5	NaN	NaN	NaN	2	3	NaN	6	NaN	1166	1511
24	2020-03-09	Bolivia	441	44	29	1	14	398	3	38	2	2185	187
25	2020-03-04	Bosnia and Herzegovina	1110	NaN	41	NaN	253	816	4	338	12	13339	4066
26	2020-03-29	Botswana	13	NaN	1	NaN	NaN	12	NaN	6	0.4	3441	1463
27	2020-02-24	Brazil	28912	302	1760	3	14026	13126	296	136	8	62985	296
