# 05ClusterAnalysis_DBS.R
%	 205
%	 12
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	
1	2020-01-20	USA	188592	62	4055	2	7251	177286	4576	570	12
2	2020-01-29	Italy	105792	NaN	12428	NaN	15729	77635	4023	1750	206
3	2020-01-30	Spain	95923	NaN	8464	NaN	19259	68200	5607	2052	181
4	2020-01-10	China	81554	36	3312	7	76238	2004	466	57	2
5	2020-01-26	Germany	71808	NaN	775	NaN	16100	54933	2675	857	9
6	2020-01-23	France	52128	NaN	3523	NaN	9444	39161	5565	799	54
7	2020-02-18	Iran	44605	NaN	2898	NaN	14656	27051	3703	531	35
8	2020-01-30	UK	25150	NaN	1789	NaN	135	23226	163	370	26
9	2020-02-24	Switzerland	16605	NaN	433	NaN	1823	14349	301	1919	50
10	2020-03-09	Turkey	13531	NaN	214	NaN	243	13074	847	160	3
11	2020-02-03	Belgium	12775	NaN	705	NaN	1696	10374	1021	1102	61
12	2020-02-26	Netherlands	12595	NaN	1039	NaN	250	11306	1053	735	61
13	2020-02-24	Austria	10298	118	128	NaN	1095	9075	198	1143	14
14	2020-01-19	S. Korea	9887	101	165	3	5567	4155	55	193	3
15	2020-01-24	Canada	8612	NaN	101	NaN	1242	7269	120	228	3
16	2020-03-01	Portugal	7443	NaN	160	NaN	43	7240	188	730	16
17	2020-02-24	Brazil	5812	95	202	1	127	5483	296	27	1
18	2020-02-20	Israel	5591	233	21	1	226	5344	97	646	2
19	2020-01-24	Australia	4862	99	21	1	345	4496	28	191	0.8
20	2020-02-25	Norway	4651	10	39	NaN	13	4599	97	858	7
21	2020-01-30	Sweden	4435	NaN	180	NaN	16	4239	358	439	18
22	2020-02-29	Czechia	3330	22	32	1	45	3253	70	311	3
23	2020-02-28	Ireland	3235	NaN	71	NaN	5	3159	103	655	14
24	2020-02-26	Denmark	2860	NaN	90	NaN	1	2769	145	494	16
25	2020-01-24	Malaysia	2766	NaN	43	NaN	537	2186	94	85	1
26	2020-03-02	Chile	2738	NaN	12	NaN	156	2570	14	143	0.6
27	2020-03-03	Poland	2347	36	35	2	7	2305	50	62	0.9
28	2020-01-30	Russia	2337	NaN	17	NaN	121	2199	8	16	0.1
29	2020-02-28	Ecuador	2302	NaN	79	NaN	58	2165	100	130	4
30	2020-02-25	Romania	2245	NaN	82	NaN	220	1943	62	117	4
31	2020-01-14	Japan	2178	NaN	57	NaN	424	1697	69	17	0.5
32	2020-02-28	Luxembourg	2178	NaN	23	NaN	80	2075	31	3479	37
33	2020-01-29	Philippines	2084	NaN	88	NaN	49	1947	1	19	0.8
34	2020-02-25	Pakistan	2042	104	26	NaN	82	1934	12	9	0.1
35	2020-01-12	Thailand	1771	120	12	2	416	1343	23	25	0.2
36	2020-01-29	India	1590	193	45	10	148	1397	NaN	1	0.03
37	2020-03-01	Saudi Arabia	1563	NaN	10	NaN	165	1388	31	45	0.3
38	2020-03-01	Indonesia	1528	NaN	136	NaN	81	1311	NaN	6	0.5
39	2020-01-28	Finland	1418	NaN	17	NaN	10	1391	56	256	3
40	2020-03-04	South Africa	1353	NaN	5	NaN	31	1317	7	23	0.08
41	2020-02-25	Greece	1314	NaN	49	NaN	52	1213	72	126	5
42	2020-02-27	Mexico	1215	121	29	1	35	1151	1	9	0.2
43	2020-03-09	Panama	1181	NaN	30	NaN	9	1142	50	274	7
44	2020-02-27	Iceland	1135	NaN	2	NaN	198	935	11	3326	6
45	2020-02-29	Dominican Republic	1109	NaN	51	NaN	5	1053	NaN	102	5
46	2020-03-05	Peru	1065	NaN	30	NaN	394	641	49	32	0.9
47	2020-03-02	Argentina	1054	NaN	27	NaN	240	787	NaN	23	0.6
48	2020-01-22	Singapore	926	NaN	3	NaN	240	683	22	158	0.5
49	2020-03-05	Colombia	906	NaN	16	NaN	31	859	35	18	0.3
50	2020-03-05	Serbia	900	NaN	23	NaN	42	835	62	103	3
51	2020-02-24	Croatia	867	NaN	6	NaN	67	794	32	211	1
52	2020-03-03	Slovenia	802	NaN	15	NaN	10	777	24	386	7
53	2020-02-28	Qatar	781	NaN	2	NaN	62	717	6	271	0.7
54	2020-02-26	Estonia	745	NaN	4	NaN	26	715	13	562	3
55	2020-02-24	Algeria	716	NaN	44	NaN	46	626	NaN	16	1
56	2020-01-22	Hong Kong	715	NaN	4	NaN	128	583	5	95	0.5
57	2020-02-04	Diamond Princess	712	NaN	11	NaN	603	98	15	NaN	NaN
58	2020-02-13	Egypt	710	NaN	46	NaN	157	507	NaN	7	0.4
59	2020-02-27	New Zealand	708	61	1	NaN	83	624	2	147	0.2
60	2020-02-21	Iraq	694	NaN	50	NaN	170	474	NaN	17	1
61	2020-03-02	Ukraine	669	24	17	NaN	10	642	NaN	15	0.4
62	2020-01-28	UAE	664	NaN	6	NaN	61	597	2	67	0.6
63	2020-03-01	Morocco	638	21	36	NaN	24	578	1	17	1
64	2020-02-27	Lithuania	581	44	8	NaN	7	566	27	213	3
65	2020-02-29	Armenia	571	39	3	NaN	31	537	30	193	1
66	2020-02-23	Bahrain	567	NaN	4	NaN	316	247	2	333	2
67	2020-03-03	Hungary	525	33	20	4	40	465	6	54	2
68	2020-02-20	Lebanon	463	NaN	12	NaN	37	414	7	68	2
69	2020-03-01	Latvia	446	48	NaN	NaN	1	445	3	236	NaN
70	2020-03-04	Bosnia and Herzegovina	424	4	13	NaN	17	394	1	129	4
71	2020-03-06	Bulgaria	412	13	8	NaN	20	384	14	59	1
72	2020-03-01	Tunisia	394	NaN	10	NaN	3	381	10	33	0.8
73	2020-03-01	Andorra	376	NaN	12	NaN	10	354	12	4866	155
74	2020-03-12	Kazakhstan	369	26	3	1	24	342	6	20	0.2
75	2020-03-05	Slovakia	363	NaN	NaN	NaN	3	360	1	66	NaN
76	2020-03-06	Moldova	353	NaN	4	NaN	18	331	44	88	1
77	2020-03-04	Costa Rica	347	NaN	2	NaN	4	341	8	68	0.4
78	2020-03-12	Uruguay	338	NaN	1	NaN	41	296	12	97	0.3
79	2020-02-25	North Macedonia	329	NaN	9	NaN	12	308	4	158	4
80	2020-01-20	Taiwan	329	7	5	NaN	45	279	NaN	14	0.2
81	2020-02-27	Azerbaijan	298	NaN	5	NaN	26	267	11	29	0.5
82	2020-02-23	Kuwait	289	NaN	NaN	NaN	73	216	13	68	NaN
83	2020-03-01	Jordan	274	NaN	5	NaN	30	239	5	27	0.5
84	2020-03-08	Cyprus	262	NaN	8	NaN	23	231	3	217	7
85	2020-03-08	Burkina Faso	261	NaN	14	NaN	32	215	NaN	12	0.7
86	2020-03-10	Réunion	247	NaN	NaN	NaN	1	246	4	276	NaN
87	2020-03-07	Albania	243	NaN	15	NaN	52	176	8	84	5
88	2020-02-26	San Marino	236	NaN	26	NaN	13	197	16	6955	766
89	2020-03-05	Cameroon	223	30	6	NaN	5	212	NaN	8	0.2
90	2020-01-22	Vietnam	212	NaN	NaN	NaN	58	154	3	2	NaN
91	2020-02-23	Oman	210	18	1	NaN	34	175	3	41	0.2
92	2020-02-23	Afghanistan	196	22	4	NaN	5	187	NaN	5	0.1
93	2020-03-10	Cuba	186	NaN	6	NaN	8	172	3	16	0.5
94	2020-03-10	Ivory Coast	179	NaN	1	NaN	7	171	NaN	7	0.04
95	2020-03-01	Senegal	175	NaN	NaN	NaN	40	135	NaN	10	NaN
96	2020-03-14	Uzbekistan	173	1	2	NaN	8	163	8	5	0.06
97	2020-03-03	Faeroe Islands	173	4	NaN	NaN	75	98	1	3541	NaN
98	2020-03-10	Honduras	172	31	10	3	3	159	4	17	1
99	2020-03-06	Malta	169	NaN	NaN	NaN	2	167	2	383	NaN
100	2020-02-27	Belarus	163	11	1	NaN	53	109	2	17	0.1
101	2020-03-11	Ghana	161	NaN	5	NaN	31	125	1	5	0.2
102	2020-03-08	Channel Islands	159	18	3	NaN	NaN	156	NaN	915	17
103	2020-03-17	Mauritius	143	NaN	5	NaN	NaN	138	1	112	4
104	2020-03-12	Venezuela	143	8	3	NaN	41	99	6	5	0.1
105	2020-01-26	Sri Lanka	143	NaN	2	NaN	18	123	5	7	0.09
106	2020-02-27	Nigeria	139	4	2	NaN	9	128	NaN	0.7	0.01
107	2020-03-08	Brunei	129	NaN	1	NaN	45	83	3	295	2
108	2020-03-04	Martinique	128	NaN	3	NaN	27	98	15	341	8
109	2020-03-16	Montenegro	120	11	2	NaN	NaN	118	4	191	3
110	2020-03-05	Palestine	119	NaN	1	NaN	18	100	NaN	23	0.2
111	2020-03-09	Bolivia	115	8	7	1	1	107	3	10	0.6
112	2020-02-25	Georgia	115	5	NaN	NaN	22	93	6	29	NaN
113	2020-03-12	Guadeloupe	114	NaN	4	NaN	22	88	14	285	10
114	2020-03-17	Kyrgyzstan	111	4	NaN	NaN	3	108	3	17	NaN
115	2020-01-26	Cambodia	109	NaN	NaN	NaN	25	84	1	7	NaN
116	2020-03-09	DRC	98	NaN	8	NaN	2	88	NaN	1	0.09
117	2020-03-13	Mayotte	94	NaN	1	NaN	10	83	3	345	4
118	2020-03-11	Trinidad and Tobago	89	2	4	1	1	84	NaN	64	3
119	2020-03-13	Rwanda	75	NaN	NaN	NaN	NaN	75	NaN	6	NaN
120	2020-03-02	Gibraltar	69	NaN	NaN	NaN	34	35	NaN	2048	NaN
121	2020-03-02	Liechtenstein	68	NaN	NaN	NaN	NaN	68	NaN	1783	NaN
122	2020-03-06	Paraguay	65	NaN	3	NaN	1	61	3	9	0.4
123	2020-03-18	Isle of Man	60	NaN	NaN	NaN	NaN	60	NaN	706	NaN
124	2020-03-12	Kenya	59	NaN	1	NaN	1	57	2	1	0.02
125	2020-03-19	Madagascar	57	NaN	NaN	NaN	NaN	57	6	2	NaN
126	2020-03-12	Aruba	55	NaN	NaN	NaN	1	54	NaN	515	NaN
127	2020-03-07	Bangladesh	54	3	6	1	25	23	1	0.3	0.04
128	2020-02-27	Monaco	52	NaN	1	NaN	2	49	NaN	1325	25
129	2020-03-06	French Guiana	51	NaN	NaN	NaN	15	36	NaN	171	NaN
130	2020-03-20	Uganda	44	NaN	NaN	NaN	NaN	44	NaN	1	NaN
131	2020-01-21	Macao	41	NaN	NaN	NaN	10	31	NaN	63	NaN
132	2020-03-09	Jamaica	38	NaN	2	NaN	2	34	NaN	13	0.7
133	2020-03-12	Guatemala	38	NaN	1	NaN	12	25	1	2	0.06
134	2020-03-10	French Polynesia	37	NaN	NaN	NaN	NaN	37	1	132	NaN
135	2020-03-17	Zambia	36	NaN	NaN	NaN	NaN	36	NaN	2	NaN
136	2020-03-18	Niger	34	NaN	3	NaN	NaN	31	NaN	1	0.1
137	2020-03-05	Togo	34	NaN	1	NaN	10	23	NaN	4	0.1
138	2020-03-16	Barbados	34	NaN	NaN	NaN	NaN	34	NaN	118	NaN
139	2020-03-18	El Salvador	32	NaN	1	NaN	NaN	31	1	5	0.2
140	2020-03-17	Bermuda	32	NaN	NaN	NaN	10	22	NaN	514	NaN
141	2020-03-17	Djibouti	30	NaN	NaN	NaN	NaN	30	NaN	30	NaN
142	2020-03-24	Mali	28	NaN	2	NaN	NaN	26	NaN	1	0.1
143	2020-03-12	Ethiopia	26	NaN	NaN	NaN	2	24	2	0.2	NaN
144	2020-03-12	Guinea	22	NaN	NaN	NaN	NaN	22	NaN	2	NaN
145	2020-03-15	Tanzania	19	NaN	1	NaN	1	17	NaN	0.3	0.02
146	2020-03-14	Congo	19	NaN	NaN	NaN	NaN	19	NaN	3	NaN
147	2020-03-12	Gabon	18	2	1	NaN	NaN	17	NaN	8	0.4
148	2020-03-06	Maldives	18	NaN	NaN	NaN	13	5	NaN	33	NaN
149	2020-03-19	Haiti	16	1	NaN	NaN	1	15	NaN	1	NaN
150	2020-03-17	New Caledonia	16	NaN	NaN	NaN	NaN	16	NaN	56	NaN
151	2020-03-22	Myanmar	15	NaN	1	NaN	NaN	14	NaN	0.3	0.02
152	2020-02-29	Saint Martin	15	NaN	1	NaN	2	12	NaN	388	26
153	2020-03-14	Bahamas	15	1	NaN	NaN	1	14	NaN	38	NaN
154	2020-03-13	Equatorial Guinea	15	NaN	NaN	NaN	1	14	NaN	11	NaN
155	2020-03-20	Eritrea	15	NaN	NaN	NaN	NaN	15	NaN	4	NaN
156	2020-03-12	Cayman Islands	14	NaN	1	NaN	NaN	13	NaN	213	15
157	2020-03-09	Mongolia	14	2	NaN	NaN	2	12	NaN	4	NaN
158	2020-03-12	Saint Lucia	13	NaN	NaN	NaN	1	12	NaN	71	NaN
159	2020-03-11	Guyana	12	NaN	2	NaN	NaN	10	NaN	15	3
160	2020-03-21	Dominica	12	NaN	NaN	NaN	NaN	12	NaN	167	NaN
161	2020-03-12	Curaçao	11	NaN	1	NaN	2	8	NaN	67	6
162	2020-03-13	Namibia	11	NaN	NaN	NaN	2	9	NaN	4	NaN
163	2020-03-21	Syria	10	NaN	2	NaN	NaN	8	NaN	0.6	0.1
164	2020-03-15	Greenland	10	NaN	NaN	NaN	2	8	NaN	176	NaN
165	2020-03-23	Libya	10	NaN	NaN	NaN	1	9	NaN	1	NaN
166	2020-03-13	Seychelles	10	NaN	NaN	NaN	NaN	10	NaN	102	NaN
167	2020-03-12	Suriname	10	1	NaN	NaN	NaN	10	NaN	17	NaN
168	2020-03-15	Benin	9	NaN	NaN	NaN	1	8	NaN	0.7	NaN
169	2020-03-21	Grenada	9	NaN	NaN	NaN	NaN	9	NaN	80	NaN
170	2020-03-23	Laos	9	NaN	NaN	NaN	NaN	9	NaN	1	NaN
171	2020-03-13	Eswatini	9	NaN	NaN	NaN	NaN	9	NaN	8	NaN
172	2020-03-19	Zimbabwe	8	NaN	1	NaN	NaN	7	NaN	0.5	0.07
173	2020-03-24	Guinea-Bissau	8	NaN	NaN	NaN	NaN	8	NaN	4	NaN
174	2020-03-21	Mozambique	8	NaN	NaN	NaN	NaN	8	NaN	0.3	NaN
175	2020-03-24	Saint Kitts and Nevis	8	NaN	NaN	NaN	NaN	8	NaN	150	NaN
176	2020-03-19	Angola	7	NaN	2	NaN	1	4	NaN	0.2	0.06
177	2020-03-12	Sudan	7	NaN	2	NaN	1	4	NaN	0.2	0.05
178	2020-03-12	Antigua and Barbuda	7	NaN	NaN	NaN	NaN	7	NaN	71	NaN
179	2020-03-18	Chad	7	NaN	NaN	NaN	NaN	7	NaN	0.4	NaN
180	2020-03-19	Cabo Verde	6	NaN	1	NaN	NaN	5	NaN	11	2
181	2020-03-12	Mauritania	6	NaN	1	NaN	2	3	NaN	1	0.2
182	2020-03-05	Vatican City	6	NaN	NaN	NaN	NaN	6	NaN	7491	NaN
183	2020-02-29	St. Barth	6	NaN	NaN	NaN	1	5	NaN	607	NaN
184	2020-03-17	Sint Maarten	6	NaN	NaN	NaN	NaN	6	NaN	140	NaN
185	2020-03-18	Nicaragua	5	NaN	1	NaN	NaN	4	NaN	0.8	0.2
186	2020-01-23	Nepal	5	NaN	NaN	NaN	1	4	NaN	0.2	NaN
187	2020-03-18	Fiji	5	NaN	NaN	NaN	NaN	5	NaN	6	NaN
188	2020-03-17	Montserrat	5	NaN	NaN	NaN	NaN	5	NaN	1002	NaN
189	2020-03-15	Somalia	5	NaN	NaN	NaN	1	4	NaN	0.3	NaN
190	2020-03-22	Turks and Caicos	5	NaN	NaN	NaN	NaN	5	NaN	129	NaN
191	2020-03-29	Botswana	4	NaN	1	NaN	NaN	3	NaN	2	0.4
192	2020-03-16	Gambia	4	NaN	1	NaN	NaN	3	NaN	2	0.4
193	2020-03-05	Bhutan	4	NaN	NaN	NaN	NaN	4	NaN	5	NaN
194	2020-03-22	Belize	3	NaN	NaN	NaN	NaN	3	NaN	8	NaN
195	2020-03-14	British Virgin Islands	3	NaN	NaN	NaN	NaN	3	NaN	99	NaN
196	2020-03-14	CAR	3	NaN	NaN	NaN	NaN	3	NaN	0.6	NaN
197	2020-03-15	Liberia	3	NaN	NaN	NaN	NaN	3	NaN	0.6	NaN
198	2020-03-26	MS Zaandam	2	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN
199	2020-03-25	Anguilla	2	NaN	NaN	NaN	NaN	2	NaN	133	NaN
200	2020-03-30	Burundi	2	NaN	NaN	NaN	NaN	2	NaN	0.2	NaN
201	2020-03-31	Caribbean Netherlands	2	2	NaN	NaN	NaN	2	NaN	76	NaN
202	2020-03-19	Papua New Guinea	1	NaN	NaN	NaN	NaN	1	NaN	0.1	NaN
203	2020-03-10	St. Vincent Grenadines	1	NaN	NaN	NaN	1	0	NaN	9	NaN
204	2020-03-30	Sierra Leone	1	NaN	NaN	NaN	NaN	1	NaN	0.1	NaN
205	2020-03-20	Timor-Leste	1	NaN	NaN	NaN	NaN	1	NaN	0.8	NaN
